state,district,block,year,recharge_mm,extraction_mcm,stage_percent,category
Andhra Pradesh,Visakhapatnam,Block-1,2000,165,259,156.97,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-2,2000,220,145,65.91,Safe
Andhra Pradesh,Visakhapatnam,Block-3,2000,124,250,201.61,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-1,2001,237,150,63.29,Safe
Andhra Pradesh,Visakhapatnam,Block-2,2001,192,109,56.77,Safe
Andhra Pradesh,Visakhapatnam,Block-3,2001,195,201,103.08,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-1,2002,165,174,105.45,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-2,2002,240,181,75.42,Semi-Critical
Andhra Pradesh,Visakhapatnam,Block-3,2002,153,182,118.95,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-1,2003,106,242,228.3,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-2,2003,135,134,99.26,Critical
Andhra Pradesh,Visakhapatnam,Block-3,2003,178,164,92.13,Critical
Andhra Pradesh,Visakhapatnam,Block-1,2004,160,230,143.75,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-2,2004,128,148,115.62,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-3,2004,221,201,90.95,Critical
Andhra Pradesh,Visakhapatnam,Block-1,2005,183,194,106.01,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-2,2005,136,217,159.56,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-3,2005,156,220,141.03,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-1,2006,108,255,236.11,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-2,2006,229,213,93.01,Critical
Andhra Pradesh,Visakhapatnam,Block-3,2006,212,164,77.36,Semi-Critical
Andhra Pradesh,Visakhapatnam,Block-1,2007,114,226,198.25,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-2,2007,207,155,74.88,Semi-Critical
Andhra Pradesh,Visakhapatnam,Block-3,2007,223,113,50.67,Safe
Andhra Pradesh,Visakhapatnam,Block-1,2008,113,169,149.56,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-2,2008,247,117,47.37,Safe
Andhra Pradesh,Visakhapatnam,Block-3,2008,166,216,130.12,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-1,2009,213,268,125.82,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-2,2009,211,169,80.09,Semi-Critical
Andhra Pradesh,Visakhapatnam,Block-3,2009,197,125,63.45,Safe
Andhra Pradesh,Visakhapatnam,Block-1,2010,242,155,64.05,Safe
Andhra Pradesh,Visakhapatnam,Block-2,2010,133,98,73.68,Semi-Critical
Andhra Pradesh,Visakhapatnam,Block-3,2010,154,163,105.84,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-1,2011,205,175,85.37,Semi-Critical
Andhra Pradesh,Visakhapatnam,Block-2,2011,210,111,52.86,Safe
Andhra Pradesh,Visakhapatnam,Block-3,2011,199,230,115.58,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-1,2012,237,168,70.89,Semi-Critical
Andhra Pradesh,Visakhapatnam,Block-2,2012,138,213,154.35,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-3,2012,207,236,114.01,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-1,2013,223,169,75.78,Semi-Critical
Andhra Pradesh,Visakhapatnam,Block-2,2013,141,88,62.41,Safe
Andhra Pradesh,Visakhapatnam,Block-3,2013,198,239,120.71,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-1,2014,182,158,86.81,Semi-Critical
Andhra Pradesh,Visakhapatnam,Block-2,2014,237,242,102.11,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-3,2014,149,248,166.44,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-1,2015,229,201,87.77,Semi-Critical
Andhra Pradesh,Visakhapatnam,Block-2,2015,204,152,74.51,Semi-Critical
Andhra Pradesh,Visakhapatnam,Block-3,2015,220,153,69.55,Safe
Andhra Pradesh,Visakhapatnam,Block-1,2016,128,262,204.69,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-2,2016,117,259,221.37,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-3,2016,200,168,84.0,Semi-Critical
Andhra Pradesh,Visakhapatnam,Block-1,2017,115,124,107.83,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-2,2017,181,260,143.65,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-3,2017,207,173,83.57,Semi-Critical
Andhra Pradesh,Visakhapatnam,Block-1,2018,143,252,176.22,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-2,2018,226,248,109.73,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-3,2018,150,103,68.67,Safe
Andhra Pradesh,Visakhapatnam,Block-1,2019,138,141,102.17,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-2,2019,248,215,86.69,Semi-Critical
Andhra Pradesh,Visakhapatnam,Block-3,2019,164,209,127.44,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-1,2020,188,225,119.68,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-2,2020,220,205,93.18,Critical
Andhra Pradesh,Visakhapatnam,Block-3,2020,132,175,132.58,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-1,2021,247,169,68.42,Safe
Andhra Pradesh,Visakhapatnam,Block-2,2021,114,98,85.96,Semi-Critical
Andhra Pradesh,Visakhapatnam,Block-3,2021,147,260,176.87,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-1,2022,169,239,141.42,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-2,2022,166,267,160.84,Over-Exploited
Andhra Pradesh,Visakhapatnam,Block-3,2022,168,229,136.31,Over-Exploited
Andhra Pradesh,Vijayawada,Block-1,2000,232,97,41.81,Safe
Andhra Pradesh,Vijayawada,Block-2,2000,240,231,96.25,Critical
Andhra Pradesh,Vijayawada,Block-3,2000,135,191,141.48,Over-Exploited
Andhra Pradesh,Vijayawada,Block-1,2001,191,226,118.32,Over-Exploited
Andhra Pradesh,Vijayawada,Block-2,2001,233,195,83.69,Semi-Critical
Andhra Pradesh,Vijayawada,Block-3,2001,104,227,218.27,Over-Exploited
Andhra Pradesh,Vijayawada,Block-1,2002,225,198,88.0,Semi-Critical
Andhra Pradesh,Vijayawada,Block-2,2002,153,87,56.86,Safe
Andhra Pradesh,Vijayawada,Block-3,2002,180,130,72.22,Semi-Critical
